,_id,description,Bert_Label,Flair_Label,BL_Label,CE_Label,BLTC_Label,Expert1,Expert2,Expert3,Final_Label
0,CVE-2012-0563,"Unspecified vulnerability in Oracle Solaris 9, 10, and 11 allows local users to affect availability via unknown vectors related to Kerberos/klist.",unauthorized access,code injection,unknown attack,unknown attack,unknown attack,Unknown Attack,"Unknown Attack, DOS",Unknown Attack,unknown attack
1,CVE-2015-0433,"Unspecified vulnerability in Oracle MySQL Server 5.5.41 and earlier, and 5.6.22 and earlier, allows remote authenticated users to affect availability via vectors related to InnoDB : DML.",server-side request forgery,code injection,unknown attack,sensitive data exposure,unknown attack,Unknown Attack,"Unknown Attack, DOS",Unknown Attack,unknown attack
2,CVE-2011-3543,"Unspecified vulnerability in Oracle Solaris 11 Express allows remote attackers to affect availability, related to iSCSI DataMover (IDM).",server-side request forgery,No Label,unknown attack,unknown attack,unknown attack,Unknown Attack,"Unknown Attack, DOS",Unknown Attack,unknown attack
3,CVE-2014-0386,"Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.1.71 and earlier, 5.5.33 and earlier, and 5.6.13 and earlier allows remote authenticated users to affect availability via unknown vectors related to Optimizer.",server-side request forgery,code injection,unknown attack,unknown attack,unknown attack,Unknown Attack,"Unknown Attack, DOS",Unknown Attack,unknown attack
4,CVE-2016-0422,"Unspecified vulnerability in the JD Edwards EnterpriseOne Tools component in Oracle JD Edwards Products 9.1 and 9.2 allows remote attackers to affect availability via vectors related to Enterprise Infrastructure SEC, a different vulnerability than CVE-2016-0424.",server-side request forgery,code injection,unknown attack,unknown attack,unknown attack,Unknown Attack,"Unknown Attack, DOS",Unknown Attack,unknown attack
5,CVE-2016-3459,Unspecified vulnerability in Oracle MySQL 5.6.30 and earlier and 5.7.12 and earlier and MariaDB 10.0.x before 10.0.25 and 10.1.x before 10.1.14 allows remote administrators to affect availability via vectors related to Server: InnoDB.,server-side request forgery,code injection,unknown attack,unknown attack,unknown attack,Unknown Attack,"Unknown Attack, DOS",Unknown Attack,unknown attack
6,CVE-2012-3178,Unspecified vulnerability in the kernel in Oracle Sun Solaris 11 allows local users to affect availability via unknown vectors.,spyware,code injection,unknown attack,unauthorized access,unknown attack,Unknown Attack,"Unknown Attack, DOS",Unknown Attack,unknown attack
7,CVE-2016-5633,"Unspecified vulnerability in Oracle MySQL 5.7.13 and earlier allows remote administrators to affect availability via vectors related to Server: Performance Schema, a different vulnerability than CVE-2016-8290.",server-side request forgery,code injection,unknown attack,unknown attack,unknown attack,Unknown Attack,"Unknown Attack, DOS",Unknown Attack,unknown attack
8,CVE-2016-0654,"Unspecified vulnerability in Oracle MySQL 5.7.10 and earlier allows local users to affect availability via vectors related to InnoDB, a different vulnerability than CVE-2016-0656.",server-side request forgery,code injection,unknown attack,unknown attack,unknown attack,Unknown Attack,"Unknown Attack, DOS",Unknown Attack,unknown attack
9,CVE-2008-2619,"Unspecified vulnerability in the Oracle Reports Developer component in Oracle Application Server 1.0.2.2, 9.0.4.3, and 10.1.2.2, and E-Business Suite 11.5.10.2, allows remote authenticated users to affect availability via unknown vectors.",server-side request forgery,code injection,unknown attack,unknown attack,unknown attack,Unknown Attack,"Unknown Attack, DOS",Unknown Attack,unknown attack
10,CVE-2012-1703,"Unspecified vulnerability in the MySQL Server component in Oracle MySQL 5.1.61 and earlier, and 5.5.21 and earlier, allows remote authenticated users to affect availability via unknown vectors related to Server Optimizer, a different vulnerability than CVE-2012-1690.",server-side request forgery,code injection,unknown attack,unknown attack,unknown attack,Unknown Attack,"Unknown Attack, DOS",Unknown Attack,unknown attack
